Familia,Tàxon,Noms populars
Rosàcies,Rosa canina L. subsp. canina,"['Pullabelitres', 'Gratacul', 'Espullabelitres']"
Crucíferes,Brassica nigra (L.) Koch in Roehl,"['Mostassa', 'Mostarda', 'Mostaza']"
Compostes,Calendula officinalis L.,"['Calendula', 'Boixac', 'Xerraire']"
Saxifragàcies,Saxifraga vayredana Luiz.,"['Herba de Sant Segimon', 'Escabeiosa']"
Papilionàcies,Onobrychis viciifolia Scop.,"['Trepadella', 'Esparcet', 'Veça']"
Gencianàcies,Centaurium erythraea Rafn subsp. majus (Hoffms. et Link) Laínz,"['Herba de Santa Margarida', 'Herba de centaura', 'Centaurea']"
Timeleàcies,Daphne gnidium L.,"['Tei', 'Matapoll', 'Tintorell']"
Rosàcies,Prunus domestica L.,"['Pruna', 'Prunera', 'Prinyó']"
Esmilacàcies,Smilax aspera L.,"['Arítjol', 'Aríjol', 'Aritja']"
Malvàcies,Tilia platyphyllos Scop. subsp. platyphyllos,"['Tilloler', 'Til·ler', 'Tell']"
Escrofulariàcies,Verbascum thapsus L. subsp. montanum (Schrad.) Bonnier et Layens,"['Gamó', 'Santjoanal', 'Cua de borrega']"
Cannabàcies,Cannabis sativa L.,"['Cànem', 'Marihuana', 'Maria']"
Cariofil·làcies,Paronychia argentea Lam.,"['Herba sanguinària', 'Pota de colom', 'Sanguinària']"
Pinàcies,Pinus sp.,"['Pi', 'Trementina', 'Reïna']"
Labiades,Nepeta cataria L.,"['Nepta', 'Herba gatera', 'Herba de gat']"
Ulmàcies,Ulmus glabra Huds.,"['Om', 'Olmissera', 'Oma']"
Dennstedtiàcies,Pteridium aquilinum (L.) Kuhn,"['Falguera', 'Foguera', 'Falaguera']"
Ranunculàcies,Aconitum napellus L. subsp. vulgare Rouy et Fouc.,"['Tora', 'Aconite', 'Tora blava']"
Ericàcies,Erica multiflora L.,"['Bruc', 'Cepell', 'Bruc de llei']"
Boraginàcies,Lithospermum fruticosum L.,"['Herba de les set sangrías', 'Embudets', 'Herba de set sagnies']"
Caprifoliàcies,Lonicera implexa Ait.,"['Rotaboc', 'Xuclamel', 'Lligabosc']"
Papilionàcies,Sarothamnus scoparius (L.) Wimm. ex Koch,"['Ginesta', 'Ginestell', 'Ginesta borda']"
Rosàcies,Pyrus malus L.,"['Poma', 'Pomera', 'Poma del ciri']"
Aspleniàcies,Asplenium septentrionale (L.) Hoffm.,"['Herba prima', 'Herba del fel', 'Herba per al mal de fel']"
Labiades,Sideritis hyssopifolia L.,"['Te de muntanya', 'Tè de ròca', 'Té de Galba']"
Iridàcies,Crocus sativus L.,"['Safrà', 'Safrà', 'Safranera']"
Compostes,Taraxacum dissectum (Ledeb.) Ledeb.,"['Xicoina', 'Xicoia', 'Xicoina de muntanya']"
Cistàcies,Cistus albidus L.,"['Estepa', 'Estepa blanca', ""Estepa d'escurar""]"
Rosàcies,Fragaria vesca L.,"['Maduixa', 'Maduixera', 'Maduixer']"
Cupressàcies,Juniperus communis L. subsp. communis,"['Ginebró', 'Ginebre', 'Oli de ginebre']"
Rubiàcies,Rubia peregrina L. subsp. peregrina,"['Herba remuguera', 'Herba apegalosa', 'Herba de remuc']"
Adoxàcies,Sambucus ebulus L.,"['Púdol', 'Èvol', 'Escampador']"
Labiades,Stachys byzantina C.Koch,"['Bàlsam', 'Sàlvia', 'Fulla de la Mare de Déu']"
Ericàcies,Vaccinium myrtillus L.,"['Nabiu', 'Nabissera', 'Vajó']"
Coriariàcies,Coriaria myrtifolia L.,"['Roldor', 'Rodor', 'Rodó']"
Tifàcies,Typha latifolia L.,"['Balca', 'Boga', 'Bova']"
Asparagàcies,Agave americana L.,"['Atzavara', 'Figuerassa', 'Pita']"
Compostes,Centaurea aspera L.,"['Cap de burro', 'Bracera', 'Travalera']"
Asparagàcies,Ruscus aculeatus L.,"['Galzeran', 'Gallaranc', 'Boix mascle']"
Salicàcies,Salix fragilis L.,"['Vim', 'Vímec', 'Vímet']"
Mirtàcies,Syzygium aromaticum (L.) Merr. et Perry,"['Clau', 'Clavell', 'Clau']"
Labiades,Mentha suaveolens Ehrh.,"['Menta de gat', 'Menta de burro', 'Madrastra']"
Fagàcies,Quercus humilis Mill.,"['Roure', 'Bala de roure']"
Crassulàcies,Sedum telephium L. subsp. maximum (L.) Krock.,"['Curalotodo', 'Bàlsam', 'Herba grassa']"
Betulàcies,Betula pendula Roth,"['Beç', 'Bedoll', 'Arbre blanc']"
Compostes,Leuzea conifera (L.) DC. in Lam. et DC.,"['Herba queixalera', 'Perdiuetes', 'Pinyeta de Sant Joan']"
Escrofulariàcies,Verbascum thapsus L.,"['Trepó', 'Tripó', 'Pòrpora']"
Rosàcies,Eriobotrya japonica (Thunb.) Lindl.,"['Nisprero*', 'Nisprer', 'Nispro']"
Ranunculàcies,Clematis flammula L.,"['Vidriella', 'Viadella', 'Vidiella']"
Euforbiàcies,Euphorbia characias L. subsp. characias,"['Llet de Teresa', 'Lletdetresa', 'Llet de Santa Teresa']"
Fagàcies,Quercus suber L.,"['Suro', 'Suro', 'Alzina surera']"
Amarantàcies,Beta vulgaris L. subsp. vulgaris var. vulgaris,"['Bleda', 'Acelga', 'Bleda-rave']"
Compostes,Calendula arvensis L.,"['Llevamà', 'Llevamans', 'Lligamà']"
Aquifoliàcies,Ilex aquifolium L.,"['Grèvol', 'Boix grèvol', 'Coscoll de grèvol']"
Apocinàcies,Nerium oleander L.,"['Baladre', 'Adelfa', 'Roser']"
Compostes,Centaurea aspera L. subsp. aspera,"['Bracera', 'Herba bracera', 'Travarada']"
Piperàcies,Piper nigrum L.,"['Pebre', 'Pebre', 'Pebre negre']"
Euforbiàcies,Euphorbia sp.,"['Lletetresa', 'Lletrera', 'Lleteresa']"
Cupressàcies,Juniperus phoenicea L. subsp. phoenicea,"['Savina', 'Sivina']"
Malvàcies,Tilia cordata Mill.,"['Til·la', 'Tila', 'Telh']"
Cucurbitàcies,Cucurbita pepo L. var. pepo,"['Carbassa', 'Carbassa', 'Carabassa']"
Oleàcies,Syringa vulgaris L.,"['Lilà', 'Lilà blanc']"
Papilionàcies,Trifolium pratense L.,"['Trèfola', 'Trèvol', 'Trèfola borda']"
Papilionàcies,Cicer arietinum L.,"['Cigró', 'Ciuró']"
Cucurbitàcies,Cucurbita pepo L.,"['Carbassa', 'Carbassó', 'Carabassa']"
Papilionàcies,Dorycnium pentaphyllum Scop.,"['Botja', ""Botja d'escombres"", 'Botja de granera']"
Rutàcies,Citrus aurantium L.,"['Taronja agra', 'Taronger', 'Taronger agre']"
Arecàcies,Chamaerops humilis L.,"['Garballó', 'Margalló', 'Pauma']"
Cupressàcies,Juniperus oxycedrus L. subsp. oxycedrus,"['Ginebre', 'Ginebró', 'Càdec']"
Crassulàcies,Sempervivum tectorum L.,"['Matafoc', 'Orellina', 'Sempreviva']"
Cariofil·làcies,Herniaria hirsuta L. subsp. cinerea (DC.) Arcang.,"['Trencapedra', 'Herba-roca', ""Herba d'arenes""]"
Labiades,Melissa officinalis L. subsp. officinalis,"['Torongina', 'Tarongina', 'Menta torongina']"
Fagàcies,Quercus ilex L. subsp. ilex,"['Alzina', 'Bellotera', 'Aglà']"
Labiades,Satureja calamintha (L.) Scheele,"['Remenderola', 'Rementerola', 'Rebenderola']"
Malvàcies,Tilia sp.,"['Til·lo*', 'Til·la', 'Til·ler']"
Gramínies,Avena barbata Pott ex Link in Schrad.,"['Cugula', 'Cugula borda', 'Novio']"
Compostes,Inula helenioides DC. in Lam. et DC.,['Àrnica']
Rosàcies,Mespilus germanica L.,"['Nespra', 'Nespla', 'Nespró']"
Rosàcies,Pyrus communis L.,"['Pera', 'Perera', 'Perer']"
Oleàcies,Fraxinus angustifolia Vahl,"['Freixe', 'Fleix', 'Fréixer']"
Rosàcies,Prunus armeniaca L.,"['Albercoc', 'Marcoc', 'Abricot*']"
Orobancàcies,Rhinanthus mediterraneus (Sterneck) Senn. subsp. mediterraneus,"['Forrollada', 'Fenollada', 'Fusellada']"
Aristoloquiàcies,Aristolochia pistolochia L.,"['Herba felera', 'Herba de la fel', 'Felera']"
Cupressàcies,Juniperus oxycedrus L.,"['Ginebre', 'Càdec', 'Ginebró']"
Mirtàcies,Myrtus communis L.,"['Murta', 'Murtó', 'Murtera']"
Papilionàcies,Robinia pseudoacacia L.,"['Acàcia', 'Escàcia', 'Ascàcia']"
Miristicàcies,Myristica fragrans Houtt.,"['Nou moscada', 'Nou noscat']"
Crassulàcies,Sedum telephium L.,"['Bàlsam', 'Curatodo', 'Foguera']"
Equisetàcies,Equisetum ramosissimum Desf.,"['Cua de cavall', 'Herba nusera', 'Coa de cavall']"
Crucíferes,Brassica napus L.,"['Nap', 'Nap blanc', 'Nabo']"
Malvàcies,Malva neglecta Wallr.,"['Malva', 'Malva blanca', 'Malví']"
Labiades,Prunella vulgaris L.,"['Herba del traïdor', 'Herba de la gangrena', 'Consuelda  menor']"
Labiades,Thymus serpyllum L. subsp. chamaedrys (Fries) Celak.,"['Salsa de pastor', 'Farigola de pastor', 'Essència de pastor']"
Betulàcies,Alnus glutinosa (L.) Gaertn.,['Vern']
Poligonàcies,Polygonum aviculare L.,"['Estiravella', 'Passacamins', 'Tiravella']"
Poligonàcies,Rumex crispus L.,"['Paradella', 'Roma', 'Romerill']"
Caprifoliàcies,Scabiosa columbaria L. subsp. columbaria,"['Escabiosa', 'Herba escabiosa', 'Escopiosa']"
Crassulàcies,Sedum sediforme (Jacq.) Pau,"['Crespinell', 'Pinet', 'Matifoc']"
Cucurbitàcies,Citrullus lanatus (Thunb.) Matsumara et Nakai,"['Síndria', 'Síndria', ""Meló d'Alger""]"
Crucíferes,Diplotaxis erucoides (L.) DC.,"['Ravenissa', 'Citró', 'Cap blanc']"
Papilionàcies,Genista scorpius (L.) DC. in Lam. et DC.,"['Argelaga', 'Argilaga borda', 'Argilaga negra']"
Compostes,Mantisalca salmantica (L.) Briq. et Cavill.,"['Granera', 'Escombrera', 'Granereta']"
Ericàcies,Calluna vulgaris (L.) Hull,"['Brossa', 'Bronsa', 'Brucal']"
Umbel·líferes,Daucus carota L. subsp. sativus (Hoffm.) Arcang.,"['Pastanaga', 'Carrota', 'Safranòria']"
Umbel·líferes,Meum athamanticum Jacq. subsp. athamanticum,"['Herba del meu', 'Meu', 'Comí marrà']"
Cariofil·làcies,Saponaria officinalis L.,"['Herba sabonera', 'Saponària', 'Sabó de gitana']"
