Familia,Tàxon,Noms populars
Cactàcies,Lophophora williamsii (Lem. Ex Salm-Dyck) J.M.Coult.,['Peyote']
Juncàcies,Luzula spicata (L.) DC.,"['Mill', 'Mill del sol']"
Primulàcies,Lysimachia ephemerum L.,['Herba melsera']
Compostes,Matricaria discoidea DC.,['Camamilha']
Papilionàcies,Medicago minima (L.) L.,['Trèvol bord']
Papilionàcies,Medicago polymorpha L.,['Versa']
Meliàcies,Melia azedarach L.,"['Amèlia', 'Sabonera']"
Papilionàcies,Melilotus sulcata Desf.,['Trèvol de ramellet']
Labiades,Mentha arvensis L.,"['Menta de fer sopa', 'Menta mentidera']"
Gramínies,Molinia coerulea (L.) Moench,['Herba de tall']
Crucíferes,Moricandia arvensis (L.) DC.,"['Collejón', 'Espinac de frare']"
Orobancàcies,Odontides lutea (L.) Clairville,['Brancadella']
Orquidàcies,Ophrys speculum Link,"['Orquídea', 'Sabateta del bon Jesús']"
Orobancàcies,Orobanche rapum-genistae Thuill.,['Lliri']
Osmundàcies,Osmunda regalis L.,['Foguera de riera']
Oxalidàcies,Oxalis corniculata L.,"['Pa amb peixet', 'Pa amb vi']"
Asparagàcies,Paradisea liliastrum (L.) Bertol.,['Lliri blanc']
Gramínies,Paspalum distichum L.,"['Canyota', 'Gram de riera']"
Gramínies,Phyllostachys flexuosa (Carr.) A. et C.Riv.,['Canya americana negra']
Fitolacàcies,Phytolacca americana L.,"['Phytolacca', 'Raïm de moro']"
Pinàcies,Pinus radiata D.Don,['Pi insigne']
Plantaginàcies,Plantago subulata L. subsp. radicata (Hoffms. et Link) O.Bolòs et J.Vigo,"['Fenàs', 'Pedrenca']"
Poligonàcies,Polygonum lapathifolium L.,['Fajol bord']
Polipodiàcies,Polypodium vulgare L. subsp. serrulatum Arcang.,"['Arengada', 'Falguera']"
Rosàcies,Potentilla alchemilloides Lap.,['Peucrist']
Rosàcies,Potentilla neumanniana Reichenb.,"['Gram negre', 'Peucrist']"
Labiades,Prunella laciniata (L.) L.,"['Herba del traïdor', 'Herba del traïdor blanc']"
Rosàcies,Prunus mahaleb L.,['Macaleu']
Rosàcies,Prunus persica (L.) Batsh var. nucipersica (L.) C.K.Schneid.,['Nectarina']
Rosàcies,Pyracantha coccinea M.J.Roemer,"['Cartegus', 'Gràtagos']"
Fagàcies,Quercus ×morisii Borzi,['Surolí']
Ranunculàcies,Ranunculus asiaticus L.,['Francesilla']
Ranunculàcies,Ranunculus ficaria L.,"['Collons de gall', 'Gatassa']"
Arecàcies,Raphia sp.,['Ràfia']
Resedàcies,Reseda luteola L.,"['Gualda', 'Reseda']"
Ramnàcies,Rhamnus frangula L.,['Fràngula']
Grossulariàcies,Ribes rubrum L.,['Grosella']
Rosàcies,Rosa sicula Tratt.,['Gavarrera']
Poligonàcies,Rumex conglomeratus Murray,['Herba per a les pedres del fetge']
Poligonàcies,Rumex pseudoalpinus Höfft,"['Pradella', 'Ruibarbe']"
Salicàcies,Salix elaeagnos Scop. subsp. angustifolia (Cariot) Rechinger f.,['Sarga']
Amarantàcies,Salsola kali L. subsp. ruthenica (Iljin) Soó,"['Saleret', 'Sosa']"
Amarantàcies,Salsola soda L.,"['Parnella', 'Saleret']"
Labiades,Salvia sp.,"['Salvi', 'Sàlvia']"
Saxifragàcies,Saxifraga aquatica Lap.,['Enciam de font']
Labiades,Sideritis sp.,['Sideritis']
Labiades,Sideritis spinulosa Barnades ex Asso subsp. ilicifolia (Willd.) O.Bolòs et J.Vigo,"['Rabo de gato', 'Herba de mal de panxa']"
Cariofil·làcies,Stellaria holostea L.,['Llengua de gallina']
Gramínies,Stipa capensis Thunb.,['Rompsac']
Gramínies,Stipa offneri Breistr.,['Llambra']
Caprifoliàcies,Succisa pratensis Moench,"[""Herba de l'enaiguament""]"
Boraginàcies,Symphytum tuberosum L.,"['Consolta', 'Nualós']"
Compostes,Tagetes patula L.,['Clavell de moro']
Tamaricàcies,Tamarix anglica Webb,['Tamariu']
Tamaricàcies,Tamarix canariensis Willd.,"['Tamarit', 'Tamariu']"
Compostes,Tanacetum cinerariifolium (Trev.) Schultz Bip.,"['Camamilla amarganta', 'Palitre']"
Compostes,Tanacetum corymbosum (L.) Schultz Bip. subsp. corymbosum,['Herba de Santa Maria']
Labiades,"Teucrium marum L. subsp. subspinosum (Pourr. ex Willd.) O.Bolòs, Molinier et P.Monts.","['Coixinet de monja', 'Eixorba-rates']"
Labiades,Teucrium polium L. subsp. aureum (Schreb.) Arcang.,['Timó mascle']
Ranunculàcies,Thalictrum aquilegiifolium L.,"['Campanera', 'Mataboires']"
Compostes,Tragopogon porrifolius L.,"['Salsifí', 'Salsific']"
Cactàcies,Trichocereus pachanoi Britton et Rose,"['Don Pedro', 'Sanpedro']"
Papilionàcies,Trifolium arvense L.,['Blat']
Papilionàcies,Trigonella coerulea (L.) Ser. in DC. coerulea,['Te dels horts']
Papilionàcies,Trigonella gladiata Bieb.,"['Banya de cabra', 'Mareselva']"
Liliàcies,Tulipa sylvestris L.,['Tulipa salvatge']
Tifàcies,Typha angustifolia L. subsp. australis (Schum. et Thonn.) Graebn.,['Bova']
Adoxàcies,Viburnum tinus L. subsp. tinus,['Marfull']
Papilionàcies,Vicia sativa L. subsp. nigra (L.) Ehrh.,['Veça']
Papilionàcies,Vicia sativa L. subsp. sativa,['Veça']
Papilionàcies,Vicia villosa Roth,"['Veça', 'Veça borda']"
Apocinàcies,Vincetoxicum nigrum (L.) Moench,['herba febrera']
Compostes,Xanthium sp.,"['Datura', 'Estramoni']"
Malvàcies,Abelmoschus esculentus Moench,['Ocra']
Pinàcies,Abies nordmanniana (Steven) Spach,['Avet']
Aceràcies,Acer platanoides L.,['Érable']
Amaril·lidàcies,Agapanthus sp.,['Acapantus']
Asparagàcies,Agave tequilana F.A.C.Weber,['Ágave']
Rosàcies,Agrimonia eupatoria L. subsp. grandis (Andrz. ex Asch. et Graebn.) Bornm.,['Herba dels cucs']
Asfodelàcies,Aloe ferox Mill.,['Aloe feroz']
Malvàcies,Althaea hirsuta L.,['Malví']
Crucíferes,Alyssum simplex Rudolphi,['Dauradella']
Amaril·lidàcies,Allium fistulosum L.,['Cebollí']
Amaril·lidàcies,Allium oleraceum L.,['All de serp']
Amaril·lidàcies,Allium paniculatum L.,['Calabruixa']
Amaril·lidàcies,Allium schoenoprasum L.,['Cibulet']
Amaril·lidàcies,Allium vineale L.,['Calabruixa']
Menispermàcies,Anamirta cocculus (L.) Wight et Arn.,['Croca']
Boraginàcies,Anchusa italica Retz.,['Lenguaza']
Ranunculàcies,Anemone coronaria L.,['Anèmona']
Ranunculàcies,Anemone nemorosa L.,['Buixol']
Ranunculàcies,Anemone pulsatilla L.,['Flor de Sant Pere']
Compostes,Anthemis altissima L.,['Margarida borda']
Asparagàcies,Anthericum liliago L.,['Cebolla almorranera']
Papilionàcies,Anthyllis vulneraria L. subsp. forondae (Senn.) Cullen,['Vulnerària']
Araucariàcies,Araucaria heterophylla (Salisb. Franco),['Arbre de pisos']
Cariofil·làcies,Arenaria serpyllifolia L.,['Herba pisona*']
Cariofil·làcies,Arenaria sp.,['Arenària']
Aristoloquiàcies,Aristolochia longa L.,['herba felera']
Gramínies,Arrhenatherum elatius (L.) Beauv. ex J. et C.Presl,['Gram']
Compostes,Artemisia sp.,['Artemisia']
Asparagàcies,Asparagus sprengeri Regel.,['Espareguera de jardí']
Aspleniàcies,Asplenium trichomanes L. subsp. quadrivalens D.E.Meyer,['Culantrillo menor']
Compostes,Aster pilosus Willd.,['Octubre']
Papilionàcies,Astragalus balearicus Chater,['Coixinet de monja']
Labiades,Ballota hirsuta Benth.,['Sacramentària']
Compostes,Bellis annua L.,['Confitera']
Compostes,Bellis sylvestris Cyrillo,['Margaritera']
Compostes,Bidens subalternans DC.,['Madrastra']
Boletàcies,Boletus edulis (Bull.),['Cep']
Umbel·líferes,Brachyapium dichotomum (L.) Maire,['Llistó']
Crucíferes,Brassica oleracea L. subsp. robertiana (Gay) Bonnier et Layens,['Ravenissa']
Gramínies,Bromus tectorum L.,['Trapa-sac']
Solanàcies,Brugmansia arborea Steud.,['Tónica de Cristo y María Cristina']
Umbel·líferes,Bupleurum fruticosum L.,['Matabou']
Papilionàcies,Caesalpinia echinata Lam.,['Palo de Brasil']
Campanulàcies,Campanula patula L.,['Campaneta']
Compostes,Carlina vulgaris L.,['Corona de rei']
Umbel·líferes,Caucalis platycarpos L.,['Catxurro']
Pinàcies,Cedrus libani A.Richard,['Cedre']
Compostes,Centaurea alba L.,['Braçadera']
Compostes,"Centaurea jacea L. subsp. vinyalsii (Senn.) O.Bolòs, J.Nuet et J.M.Panareda",['Orelles de llebre']
Compostes,Centaurea paniculata L. subsp. leucophaea (Jord.) Briq.,['Trencacaps']
Compostes,Centaurea pectinata L.,['Caps de burro']
Caprifoliàcies,Centranthus ruber (L.) DC. subsp. ruber,"[""Rosa d'Espanya""]"
Caprifoliàcies,Cephalaria leucantha (L.) Roem. et Schultes,['Escabiosa']
Compostes,Cirsium echinatum (Desf.) DC. in Lam. et DC.,['Cardo']
Compostes,Cirsium eriophorum (L.) Scop.,['Espitllera']
Compostes,Cirsium eriophorum (L.) Scop. subsp. richterianum (Gillot) Petrak,['Card']
Rutàcies,Citrus japonica Thunb.,['Llimona de Xipre']
Ranunculàcies,Clematis recta L.,['Viadella']
Crucíferes,Cochlearia glastifolia L.,['Coclearia']
Colquicàcies,Colchicum autumnale L. subsp. autumnale,['Cabeça']
Colquicàcies,Colchicum sp.,['Colchique']
Aràcies,Colocasia sp.,['Colocàsia']
Convolvulàcies,Convolvulus lineatus L.,['Corretjola']
Compostes,Conyza sp.,['Olivarda']
Malvàcies,Corchorus capsularis L.,['Jute']
Papilionàcies,Coronilla juncea L.,['Herba del cascat']
Papilionàcies,Coronilla minima L.,['Enciam de cavaller']
Papilionàcies,Coronilla valentina L. subsp. glauca (L.) Batt. in Batt. et Trab.,['Coronilla']
Gramínies,Corynephorus canescens (L.) Beauv.,['Gespet']
Cupressàcies,Cupressus macrocarpa Hartweg,['Ciprés']
Ciperàcies,Cyperus alternifolius L. subsp. flabelliformis (Rottb.) Kük.,['Papiro']
Sargassàcies,Cystoseira amentacea Bory var. stricta Mont.,['Herba saupera']
Sargassàcies,Cystoseira crinita Duby.,['Herba corretgera']
Sargassàcies,Cystoseira elegans Sauv.,['Herba borda']
Umbel·líferes,Chaerophyllum hirsutum L.,['Givert']
Asparagàcies,Chlorophytum comosum (Thumb.) Jacques,['Cossiol de cintes']
Compostes,Chrysanthemum sinense Sabine,['Estrany']
Cariofil·làcies,Dianthus hyssopifolius L. subsp. hyssopifolius,['Clavell']
Cariofil·làcies,Dianthus pungens L.,['Coixinet de monja']
Papaveràcies,Dicentra spectabilis (L.) Fukuhara,"[""Cor d'àngel""]"
Crucíferes,Diplotaxis tenuifolia (L.) DC.,['Crèspol']
Droseràcies,Drosera rotundifolia L.,['Dròsera']
Boraginàcies,Echium creticum L.,['Rabo de gato']
Boraginàcies,Echium plantagineum L.,['Llengua de bou']
Efedràcies,Ephedra distachya L.,['Efedra']
Aràcies,Epipremnum aureum (Linden ex Andre) Bunting,['Potus']
Equisetàcies,Equisetum hyemale L.,['Cua de Cavall']
Compostes,Erigeron acer L.,['Te de ribàs']
Geraniàcies,Erodium cicutarium (L.) L'Hér. in Ait. subsp. cicutarium,['Agulla']
Geraniàcies,Erodium reichardii (Murray) DC.,['Erodium']
Compostes,Eupatorium cannabinum L.,['Altimira']
Euforbiàcies,Euphorbia esula L. subsp. esula,['Llerca']
Euforbiàcies,Euphorbia peplus L.,['Llet de Santa Teresa']
Orobancàcies,Euphrasia rostkoviana Hayne,['Eufràsia']
Mirtàcies,Feijoa sellowiana O.Berg,['Feijoa']
Gramínies,Festuca eskia Ramond ex DC. in Lam. et DC.,['Llispet']
Gramínies,Festuca rubra L.,['Gespet']
Umbel·líferes,Foeniculum vulgare Mill. subsp. vulgare,"[""Fonoll d'amanit""]"
Oleàcies,Forsythia suspensa Vahl,['Ginesta de jardí']
Rosàcies,Fragaria chiloensis (L.) Mill.,['Fresó*']
Rosàcies,Fragaria viridis Weston,['Marrà']
Onagràcies,Fuchsia sp.,['Pendientes de la reina']
Cistàcies,Fumana thymifolia (L.) Spach,['Herba de setge']
Liliàcies,Gagea fistulosa (Ram. ex DC.) Ker-Gawler,['Xarvió']
Compostes,Gaillardia sp.,['Gallàrdia']
Rubiàcies,Galium verum L. subsp. verum,['Herba de la mel']
Geraniàcies,Geranium rotundifolium L.,['Cicuta']
Geraniàcies,Geranium sanguineum L.,['Agulla']
Papilionàcies,Gleditsia triacanthos L.,['Assotacristos']
Plantaginàcies,Globularia vulgaris L. subsp. willkommii (Nyman) Wettst.,['Herba negra']
Apocinàcies,Gomphocarpus fruticosus (L.) Ait.f. in Ait.,['Tintorell']
Umbel·líferes,Guillonea scabra (Cav.) Coss.,['Fenollassa']
Cistàcies,Helianthemum marifolium (L.) Mill.,['Setge']
Cistàcies,Helianthemum sp.,['setge']
Asfodelàcies,Hemerocallis fulva (L.) L.,['Hemerocallis']
Malvàcies,Hibiscus sabdariffa L.,['Hibisc']
Gramínies,Hordeum marinum Huds.,['Margall bord']
Arecàcies,Howea forsteriana Becc.,['Quènsia']
Asparagàcies,Hyacinthus sp.,['Jacint']
Hidrangeàcies,Hydrangea macrophylla (Thunb.) Ser.,['Hortènsia']
Gutíferes,Hypericum tetrapterum Fries subsp. tetrapterum,['Herba de Sant Joan']
Papilionàcies,Indigofera tinctoria L.,['Índigo tintóreo']
Convolvulàcies,Ipomoea purpurea Roth,['Morning glory']
Iridàcies,Iris lutescens Lam.,['Lliri blau']
Iridàcies,Iris pseudacorus L.,['Lliri de rec']
Bignoniàcies,Jacaranda Juss. sp.,['Xicaranda']
Campanulàcies,Jasione montana L.,"[""Herba de l'alegria""]"
Oleàcies,Jasminum fruticans L.,['Gessamí']
Juncàcies,Juncus conglomeratus L.,['Junc']
Caprifoliàcies,Knautia dipsacifolia Kreutzer subsp. arvernensis (Briq.) O.Bolòs et J.Vigo,['Escapiosa']
Sapindàcies,Koelreuteria paniculata Laxm.,['Saboner']
Compostes,Lactuca saligna L.,['Enciam']
Labiades,Lamium amplexicaule L. subsp. amplexicaule,['Heura terrera']
Papilionàcies,Lathyrus cirrhosus Ser. in DC.,['Pois de senteur']
Papilionàcies,Lathyrus tingitanus L.,['Veçot']
Compostes,Launaea cervicornis (Boiss.) F.Q. et Rothm.,['Gatovell']
Labiades,Lavandula sp.,['Lavanda']
Labiades,Lavandula stoechas L. subsp. pedunculata (Mill.) Samp. ex Rozeira,['Tamborino']
Lemnàcies,Lemna minor L.,['Llentia']
Compostes,Leontopodium alpinum Cass. subsp. alpinum,['Herba de la neu']
Oleàcies,Ligustrum japonicum Thunb.,['Troana']
Orquidàcies,Limodorum abortivum (L.) Swartz,['Orquídia de color rosa']
Plantaginàcies,Linaria spuria (L.) Mill.,['Herba berruguera']
Linàcies,Linum usitatissimum L. subsp. angustifolium (Huds.) Thell.,['Herba feridora']
Estictàcies,Lobaria pulmonaria (L.) Hoffm.,['Herba freixurera']
Campanulàcies,Lobelia inflata L.,['Lobèlia']
Gramínies,Lolium temulentum L.,['Jui']
Crucíferes,Lunaria rediviva L.,['Vinagre']
Solanàcies,Lycium intricatum Boiss.,['Espí blanc']
Labiades,Lycopus europaeus L.,['Malrubí']
Malvàcies,Malva parviflora L.,['Malva']
Cactàcies,Mammillaria sp.,['Mamillària']
Solanàcies,Mandragora autumnalis Bertol.,['Mandràgora']
Euforbiàcies,Manihot esculenta Krantz,['Iuca']
Compostes,Matricaria aurea (Loefl.) Schultz Bip.,['Camamilla']
Crucíferes,Matthiola sinuata (L.) R.Br.,['Violer']
Crucíferes,Matthiola sinuata (L.) R.Br. subsp. sinuata,['Violer']
Papilionàcies,Melilotus officinalis (L.) Lam.,['Melilot']
Euforbiàcies,Mercurialis perennis L.,['Murcarol']
Colquicàcies,Merendera filifolia Camb.,['Safrà bord']
Cariofil·làcies,Moehringia muscosa L.,['Salsufragi']
Labiades,Monarda didyma L.,['Thé rouge']
Pirolàcies,Monotropa hypopitys L.,['Espàrrec bord']
Musàcies,Musa ×paradisiaca L.,['Plàtan']
Solanàcies,Nicotiana glauca R.C.Graham,"[""Tabac fulla d'espasa""]"
Nimfeàcies,Nymphaea alba L.,['Nenúfar blanc']
Onagràcies,Oenothera biennis L.,['Onagra']
Papilionàcies,Onobrychis supina (Vill.) DC. in Lam. et DC.,['Trepadella borda']
Papilionàcies,Ononis spinosa L. subsp. antiquorum (L.) Arcang.,['Ugó']
Peoniàcies,Paeonia officinalis L.,['Peònia']
Araliàcies,Panax ginseng C.A.Mey.,['Ginseng']
Papaveràcies,Papaver dubium L.,['Roella']
Urticàcies,Parietaria lusitanica L.,['Morella de paret']
Cariofil·làcies,Paronychia capitata (L.) Lam.,['Herba blanca']
Cariofil·làcies,Paronychia polygonifolia (Vill.) DC. in Lam. et DC.,['Herba del sang']
Umbel·líferes,Pastinaca lucida L.,['Herba del dimoni']
Umbel·líferes,Pastinaca sativa L. subsp. sativa,['Xirivia']
Umbel·líferes,Peucedanum cervaria (L.) Lap.,['Julivertassa']
Umbel·líferes,Peucedanum officinale L.,['Tora']
Compostes,Phagnalon rupestre (L.) DC.,['Trenca-roca']
Compostes,Phagnalon sordidum (L.) Reichenb.,['Herba morena']
Gramínies,Phalaris arundinacea L.,['Triguera']
Gramínies,Phleum phleoides (L.) Karsten,['Herba de les pedres']
Pinàcies,Picea abies (L.) Karsten subsp. abies,['Avet']
Umbel·líferes,Pimpinella tragium Vill.,['Matafaluga']
Pinàcies,Pinus halepensis Mill. subsp. halepensis,['Pi']
Gramínies,Poa bulbosa L.,['Pèl de ca']
Cariofil·làcies,Polycarpon tetraphyllum (L.) L.,['Herba granària']
Politricàcies,Polytrichum alpinum Hedw.,['Resplendor de nit']
Rosàcies,Potentilla recta L.,['Peucrist']
Primulàcies,Primula veris L. subsp. columnae (Ten.) Maire et Petitmengin,['Puput']
Rosàcies,Prunus spinosa L. subsp. fruticans (Weihe) Nyman,['Arç negre']
Boraginàcies,Pulmonaria officinalis L.,['Pulmonària']
Rosàcies,Pyrus communis L. subsp. pyraster (L.) Asch. et Graebn.,['Perelloner']
Fagàcies,Quercus coccinea Wangenh.,['Roure americà']
Ranunculàcies,Ranunculus aquatilis L.,['Morró']
Ranunculàcies,Ranunculus bulbosus L. subsp. aleae (Willk.) Rouy et Fouc.,['Queixal del diable']
Resedàcies,Reseda alba L. subsp. alba,['Prebedà']
Resedàcies,Reseda phyteuma L.,['Pebrot de ruc']
Ramnàcies,Rhamnus alpina L.,['Púdol']
Ramnàcies,Rhamnus saxatilis Jacq. subsp. saxatilis,['Arç blanc']
Grossulariàcies,Ribes uva-crispa L.,['Gaixiva']
Rosàcies,Rosa alba L.,['Roser blanc']
Rosàcies,Rosa pimpinellifolia L. subsp. myriacantha (DC.) O.Bolòs et J.Vigo,['Garravera']
Rosàcies,Rubus canescens DC.,['Romeguera']
Rosàcies,Rubus canescens DC. subsp. canescens,['Romeguera']
Poligonàcies,Rumex acetosa L. subsp. acetosa,['Llengua de bou']
Poligonàcies,Rumex bucephalophorus L.,['Grella']
Labiades,Salvia glutinosa L.,['Sàlvia de jardí']
Labiades,Salvia hispanica L.,['Xia']
Rosàcies,Sanguisorba minor Scop. subsp. rupicola (Boiss. et Reut.) O.Bolòs et J.Vigo,['Herba de la inflamació']
Papaveràcies,Sarcocapnos enneaphylla (L.) DC.,['Herba de cascà']
Amarantàcies,Sarcocornia sp.,['Solcera']
Labiades,Satureja acinos (L.) Scheele,['Camèlic']
Labiades,Satureja cordata Moris ex Bertol.,['Herba prima']
Labiades,Satureja cordata Moris ex Bertol. subsp. filiformis (Ait.) Litard.,"[""Herba d'arenes""]"
Labiades,Satureja obovata Lag. var. gracilis Willk.,['Sajolida']
Caprifoliàcies,Scabiosa cretica L.,['Col de penyal']
Caprifoliàcies,Scabiosa saxatilis Cav.,['Escabiosa']
Asparagàcies,Scilla sp.,['Ceba marina']
Araliàcies,Schefflera arborea (L.) M.Gómez,['Xeflera']
Cucurbitàcies,Sechium edule Sw.,['Tayote']
Crassulàcies,Sedum album L. subsp. album,['Crispinell']
Crassulàcies,Sedum brevifolium DC.,"[""Pan d'audèth""]"
Crassulàcies,Sedum sieboldii Regel,['Pilarica']
Crassulàcies,Sempervivum arachnoideum L.,['Vel de núvia']
Crassulàcies,Sempervivum montanum L.,['Matafoc']
Compostes,Senecio doria L.,['Menta medicinal']
Compostes,Senecio inaequidens DC.,['Seneci del Cap']
Cupressàcies,Sequoiadendron giganteum (Lindl.) Buchholz,['Sequoia']
Pedaliàcies,Sesamum indicum L.,['Sèsam']
Labiades,Sideritis montana L. subsp. ebracteata (Asso) Murb.,['Herba de Sant Antoni']
Solanàcies,Solanum nigrum L. subsp. miniatum (Willd.) Hartm.l,['Morella']
Papilionàcies,Sophora japonica L.,['Acàcia japonesa']
Rosàcies,Sorbus torminalis (L.) Crantz,['Sense nom']
Cariofil·làcies,Spergularia rubra (L.) J. et C.Presl,['Herba vermella']
Gramínies,Stipa pennata L.,['Barba de cabra']
Aizoàcies,Tetragonia tertragonoides (Pall.) Kuntze,['Capulca']
Labiades,Teucrium expassum Pau,['Timó mascle']
Labiades,Teucrium polium L. var. gracillimum (Rouy) O.Bolòs et J.Vigo,['Timó mascle']
Ranunculàcies,Thalictrum minus L.,['Fumatera']
Umbel·líferes,Thapsia villosa L.,['Croca']
Umbel·líferes,Thapsia villosa L. subsp. villosa,['Julivert de cavall']
Cupressàcies,Thuja occidentalis L.,['Tuia']
Timeleàcies,Thymelaea velutina (Pourr. ex Camb.) Endl.,['Peu de milà']
Umbel·líferes,Tordylium maximum L.,['Pastanaga borda']
Umbel·líferes,Torilis arvensis (Huds.) Link,['milflors']
Amaril·lidàcies,Tulbaghia L. sp.,['Tulbàgia']
Urocistidàcies,Urocystis occulta (Wallroth) Fuckel,['Carbó']
Urticàcies,Urtica pilulifera L.,['Ortiga balera']
Caprifoliàcies,Valerianella sp.,['Canonge']
Plantaginàcies,Veronica beccabunga L.,['Gréixem']
Plantaginàcies,Veronica hederifolia L.,['Borrissol']
Plantaginàcies,Veronica sp.,['Borrissol bord']
Papilionàcies,Vicia peregrina L.,['Enciam de cavaller']
Papilionàcies,Vicia sepium L.,['Veça borda']
Violàcies,Viola rupestris F.W.Schmidt,['Viola']
Violàcies,Viola willkommii Roem.,['Viola']
Primulàcies,Vitaliana primuliflora Bertol.,"[""Herba d'inflamació""]"
Vitàcies,Vitis labrusca L.,['Sarment borda']
Asparagàcies,Yucca aloifolia L.,['Iuca']
